cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,1352,1652,300,22.189349112426036
$_AND_,8642,7968,-674,-7.7991205739412175
$_DFFE_PN0N_,32,32,0,0.0
$_DFFE_PN0P_,2304,2346,42,1.8229166666666667
$_DFFE_PN1P_,7,7,0,0.0
$_DFF_PN0_,164,156,-8,-4.878048780487805
$_DFF_PN1_,8,6,-2,-25.0
$_DLATCH_N_,1,1,0,0.0
$_MUX_,4702,5277,575,12.228838792003403
$_NAND_,16021,14887,-1134,-7.078209849572437
$_NOR_,697,784,87,12.48206599713056
$_NOT_,248,251,3,1.2096774193548387
$_ORNOT_,1572,1713,141,8.969465648854962
$_OR_,2360,2182,-178,-7.5423728813559325
$_XNOR_,1185,1147,-38,-3.2067510548523206
$_XOR_,4267,4369,102,2.3904382470119523
