cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,314,390,76,24.203821656050955
$_AND_,5293,5161,-132,-2.4938598148498015
$_DFFE_PP0P_,1026,1055,29,2.8265107212475633
$_DFFE_PP1P_,0,1,1,
$_DFF_PP0_,29,0,-29,-100.0
$_DFF_PP1_,1,0,-1,-100.0
$_MUX_,1386,1354,-32,-2.3088023088023086
$_NAND_,9058,9194,136,1.5014351954073748
$_NOR_,77,125,48,62.33766233766234
$_NOT_,117,139,22,18.803418803418804
$_ORNOT_,1468,702,-766,-52.17983651226158
$_OR_,763,1579,816,106.94626474442987
$_XNOR_,2124,2277,153,7.203389830508475
$_XOR_,3003,2800,-203,-6.75990675990676
