$paramod$5ef3be0bfad1454aaa6432c4ab405bbd7cbab26b\\multiplexer	8	18
$paramod$6a3d32cf08b5e9a4d56891e3d8781ccd4215c4af\\multiplexer	1	5
$paramod$99da07bf27abaac915a8c95d36d6f2808394e702\\multiplexer	4	10
$paramod$e358a763f16798cd10903dfd37e7986c0fbbe40f\\register	1	5
$paramod\\adder\\WIDTH=s32'00000000000000000000000000100000	1	3
$paramod\\multiplexer2\\WIDTH=s32'00000000000000000000000000100000	1	4
$paramod\\multiplexer4\\WIDTH=s32'00000000000000000000000000100000	1	6
$paramod\\multiplexer8\\WIDTH=s32'00000000000000000000000000100000	1	10
adder	1	3
alu	26	29
alu_control	17	20
control_transfer	6	8
data_memory_interface	13	24
example_data_memory	29	34
example_data_memory_bus	4	11
example_memory_bus	10	16
example_text_memory	1	3
example_text_memory_bus	1	4
immediate_generator	14	10
instruction_decoder	0	7
multiplexer	1	5
multiplexer2	1	4
multiplexer4	1	6
multiplexer8	1	10
regfile	3	10
register	1	5
riscv_core	3	26
singlecycle_control	21	24
singlecycle_ctlpath	3	15
singlecycle_datapath	11	31
toplevel	3	10
