$paramod$5ef3be0bfad1454aaa6432c4ab405bbd7cbab26b\\multiplexer	492	471
$paramod$6a3d32cf08b5e9a4d56891e3d8781ccd4215c4af\\multiplexer	32	5
$paramod$99da07bf27abaac915a8c95d36d6f2808394e702\\multiplexer	228	203
$paramod$e358a763f16798cd10903dfd37e7986c0fbbe40f\\register	32	5
$paramod\\adder\\WIDTH=s32'00000000000000000000000000100000	162	133
$paramod\\multiplexer2\\WIDTH=s32'00000000000000000000000000100000	1	4
$paramod\\multiplexer4\\WIDTH=s32'00000000000000000000000000100000	1	6
$paramod\\multiplexer8\\WIDTH=s32'00000000000000000000000000100000	1	10
alu	1383	1355
alu_control	43	45
control_transfer	3	5
data_memory_interface	183	130
immediate_generator	92	62
instruction_decoder	0	7
regfile	4853	3837
riscv_core	3	26
singlecycle_control	43	43
singlecycle_ctlpath	3	15
singlecycle_datapath	11	31
